

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
132.113  000.152  000.152: sourcing /Users/stanciua/.vim/plugged/vim-gtfo/plugin/gtfo.vim
137.413  005.125  005.125: sourcing /Users/stanciua/.vim/plugged/vim-fugitive/plugin/fugitive.vim
137.854  000.287  000.287: sourcing /Users/stanciua/.vim/plugged/vim-signify/plugin/signify.vim
138.135  000.092  000.092: sourcing /Users/stanciua/.vim/plugged/vim-clojure-highlight/plugin/vim_clojure_highlight.vim
138.499  000.233  000.233: sourcing /Users/stanciua/.vim/plugged/vim-go/plugin/go.vim
138.792  000.059  000.059: sourcing /Users/stanciua/.vim/plugged/rust.vim/plugin/rust.vim
138.948  000.026  000.026: sourcing /Users/stanciua/.vim/plugged/dockerfile.vim/plugin/init.vim
139.235  000.117  000.117: sourcing /Users/stanciua/.vim/plugged/investigate.vim/plugin/investigate.vim
139.721  000.016  000.016: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/autoloclist.vim
139.776  000.015  000.015: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/balloons.vim
139.828  000.013  000.013: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/checker.vim
139.886  000.020  000.020: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/cursor.vim
139.953  000.028  000.028: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/highlighting.vim
140.013  000.011  000.011: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/loclist.vim
140.056  000.010  000.010: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/modemap.vim
140.099  000.011  000.011: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/notifiers.vim
140.143  000.011  000.011: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/registry.vim
140.186  000.011  000.011: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/signs.vim
141.199  000.529  000.529: sourcing /Users/stanciua/.vim/plugged/syntastic/autoload/syntastic/util.vim
341.151  000.102  000.102: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/autoloclist.vim
341.305  000.096  000.096: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/balloons.vim
341.667  000.308  000.308: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/checker.vim
341.911  000.154  000.154: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/cursor.vim
342.097  000.133  000.133: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/highlighting.vim
342.616  000.464  000.464: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/loclist.vim
342.812  000.143  000.143: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/modemap.vim
342.994  000.131  000.131: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/notifiers.vim
343.593  000.548  000.548: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/registry.vim
343.802  000.154  000.154: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic/signs.vim
345.461  205.242  202.480: sourcing /Users/stanciua/.vim/plugged/syntastic/plugin/syntastic.vim
346.110  000.455  000.455: sourcing /Users/stanciua/.vim/plugged/YouCompleteMe/plugin/youcompleteme.vim
347.407  000.418  000.418: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline.vim
348.323  000.206  000.206: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/init.vim
349.544  000.418  000.418: sourcing /Users/stanciua/.vim/plugged/vim-airline/autoload/airline/parts.vim
350.357  004.079  003.036: sourcing /Users/stanciua/.vim/plugged/vim-airline/plugin/airline.vim
350.529  000.023  000.023: sourcing /Users/stanciua/.vim/plugged/vim-airline-themes/plugin/airline-themes.vim
350.763  000.105  000.105: sourcing /Users/stanciua/.vim/plugged/neomake/plugin/neomake.vim
351.329  000.431  000.431: sourcing /Users/stanciua/.vim/plugged/vim-multiple-cursors/plugin/multiple_cursors.vim
351.512  000.045  000.045: sourcing /Users/stanciua/.vim/plugged/deoplete.nvim/plugin/deoplete.vim
352.207  000.187  000.187: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/gzip.vim
352.270  000.014  000.014: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/health.vim
352.366  000.056  000.056: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/man.vim
353.347  000.938  000.938: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/matchit.vim
353.616  000.220  000.220: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/plugin/matchparen.vim
